DATE,CSUSHPINSA
1998-07-01,90.887
1998-08-01,91.435
1998-09-01,91.779
1998-10-01,92.02600000000001
1998-11-01,92.223
1998-12-01,92.47
1999-01-01,92.74
1999-02-01,93.007
1999-03-01,93.63799999999999
1999-04-01,94.465
1999-05-01,95.39
1999-06-01,96.39299999999999
1999-07-01,97.221
1999-08-01,97.926
1999-09-01,98.43
1999-10-01,98.865
1999-11-01,99.184
1999-12-01,99.57799999999999
2000-01-01,100.00
2000-02-01,100.57
2000-03-01,101.46600000000001
2000-04-01,102.541
2000-05-01,103.70200000000001
2000-06-01,104.85600000000001
2000-07-01,105.72200000000001
2000-08-01,106.522
2000-09-01,107.135
2000-10-01,107.728
2000-11-01,108.291
2000-12-01,108.792
2001-01-01,109.215
2001-02-01,109.64299999999999
2001-03-01,110.395
2001-04-01,111.24799999999999
2001-05-01,112.20299999999999
2001-06-01,113.274
2001-07-01,114.229
2001-08-01,114.991
2001-09-01,115.46700000000001
2001-10-01,115.682
2001-11-01,115.839
2001-12-01,116.056
2002-01-01,116.43799999999999
2002-02-01,116.91799999999999
2002-03-01,117.932
2002-04-01,119.212
2002-05-01,120.791
2002-06-01,122.335
2002-07-01,123.68700000000001
2002-08-01,124.729
2002-09-01,125.493
2002-10-01,126.135
2002-11-01,126.641
2002-12-01,127.15
2003-01-01,127.652
2003-02-01,128.327
2003-03-01,129.31
2003-04-01,130.49
2003-05-01,131.841
2003-06-01,133.225
2003-07-01,134.64600000000002
2003-08-01,135.964
2003-09-01,137.076
2003-10-01,137.97799999999998
2003-11-01,138.769
2003-12-01,139.63299999999998
2004-01-01,140.711
2004-02-01,142.035
2004-03-01,144.085
2004-04-01,146.18200000000002
2004-05-01,148.335
2004-06-01,150.518
2004-07-01,152.33700000000002
2004-08-01,153.814
2004-09-01,155.108
2004-10-01,156.3
2004-11-01,157.498
2004-12-01,158.674
2005-01-01,160.136
2005-02-01,161.93200000000002
2005-03-01,164.582
2005-04-01,167.0
2005-05-01,169.542
2005-06-01,172.013
2005-07-01,174.09599999999998
2005-08-01,175.922
2005-09-01,177.612
2005-10-01,178.755
2005-11-01,179.679
2005-12-01,180.113
2006-01-01,180.833
2006-02-01,181.505
2006-03-01,182.753
2006-04-01,183.65099999999998
2006-05-01,184.38299999999998
2006-06-01,184.55200000000002
2006-07-01,184.615
2006-08-01,184.41299999999998
2006-09-01,184.207
2006-10-01,184.063
2006-11-01,183.639
2006-12-01,183.236
2007-01-01,182.72299999999998
2007-02-01,182.475
2007-03-01,182.19799999999998
2007-04-01,182.137
2007-05-01,181.892
2007-06-01,181.548
2007-07-01,181.002
2007-08-01,180.243
2007-09-01,179.13099999999997
2007-10-01,177.54
2007-11-01,175.173
2007-12-01,173.347
2008-01-01,171.084
2008-02-01,169.196
2008-03-01,167.908
2008-04-01,167.328
2008-05-01,167.02700000000002
2008-06-01,166.547
2008-07-01,165.726
2008-08-01,164.291
2008-09-01,161.923
2008-10-01,159.17
2008-11-01,156.078
2008-12-01,152.553
2009-01-01,149.372
2009-02-01,147.628
2009-03-01,146.524
2009-04-01,146.952
2009-05-01,148.178
2009-06-01,149.804
2009-07-01,150.753
2009-08-01,150.67
2009-09-01,149.629
2009-10-01,148.589
2009-11-01,147.946
2009-12-01,146.675
2010-01-01,145.003
2010-02-01,143.056
2010-03-01,143.596
2010-04-01,145.398
2010-05-01,147.031
2010-06-01,147.695
2010-07-01,147.55200000000002
2010-08-01,146.41299999999998
2010-09-01,144.59799999999998
2010-10-01,143.129
2010-11-01,141.826
2010-12-01,140.639
2011-01-01,139.049
2011-02-01,137.746
2011-03-01,137.79399999999998
2011-04-01,139.156
2011-05-01,140.685
2011-06-01,141.936
2011-07-01,142.332
2011-08-01,141.775
2011-09-01,140.159
2011-10-01,138.40200000000002
2011-11-01,136.659
2011-12-01,135.162
2012-01-01,134.166
2012-02-01,133.999
2012-03-01,135.872
2012-04-01,138.483
2012-05-01,141.06
2012-06-01,143.17700000000002
2012-07-01,144.286
2012-08-01,144.708
2012-09-01,144.364
2012-10-01,143.976
2012-11-01,143.972
2012-12-01,143.878
2013-01-01,144.316
2013-02-01,145.161
2013-03-01,147.961
2013-04-01,150.977
2013-05-01,153.874
2013-06-01,156.446
2013-07-01,158.309
2013-08-01,159.418
2013-09-01,159.69299999999998
2013-10-01,159.569
2013-11-01,159.37
2013-12-01,159.291
2014-01-01,159.391
2014-02-01,159.904
2014-03-01,161.222
2014-04-01,162.999
2014-05-01,164.71
2014-06-01,166.236
2014-07-01,167.15599999999998
2014-08-01,167.47
2014-09-01,167.264
2014-10-01,166.93400000000003
2014-11-01,166.685
2014-12-01,166.495
2015-01-01,166.297
2015-02-01,166.688
2015-03-01,168.142
2015-04-01,170.012
2015-05-01,171.887
2015-06-01,173.488
2015-07-01,174.535
2015-08-01,174.983
2015-09-01,175.09900000000002
2015-10-01,175.112
2015-11-01,175.21400000000003
2015-12-01,175.19099999999997
2016-01-01,175.105
2016-02-01,175.343
2016-03-01,176.65900000000002
2016-04-01,178.55
2016-05-01,180.40400000000002
2016-06-01,181.99099999999999
2016-07-01,183.11
2016-08-01,183.761
2016-09-01,184.05900000000003
2016-10-01,184.141
2016-11-01,184.363
2016-12-01,184.541
2017-01-01,184.795
2017-02-01,185.16299999999998
2017-03-01,186.675
2017-04-01,188.68099999999998
2017-05-01,190.68400000000003
2017-06-01,192.424
2017-07-01,193.688
2017-08-01,194.535
2017-09-01,195.013
2017-10-01,195.278
2017-11-01,195.644
2017-12-01,196.05
2018-01-01,196.33599999999998
2018-02-01,197.144
2018-03-01,198.826
2018-04-01,200.87599999999998
2018-05-01,202.733
2018-06-01,204.34099999999998
2018-07-01,205.266
2018-08-01,205.64
2018-09-01,205.688
2018-10-01,205.67700000000002
2018-11-01,205.426
2018-12-01,205.016
2019-01-01,204.623
2019-02-01,205.041
